"Ligands","Receptors","source","Organism"
"AT1G29670","AT5G10770","STRING","Arabidopsis thaliana"
"AT1G29670","AT1G18280","STRING","Arabidopsis thaliana"
"AT1G30700","AT5G22300","STRING","Arabidopsis thaliana"
"AT1G30700","AT5G57090","STRING","Arabidopsis thaliana"
"AT1G30700","AT4G15610","STRING","Arabidopsis thaliana"
"AT1G30710","AT5G10770","STRING","Arabidopsis thaliana"
"AT1G30760","AT5G64440","STRING","Arabidopsis thaliana"
"AT1G30870","AT4G19680","STRING","Arabidopsis thaliana"
"AT1G30870","AT4G40090","STRING","Arabidopsis thaliana"
"AT1G30870","AT5G49270","STRING","Arabidopsis thaliana"
"AT1G31550","AT5G43470","STRING","Arabidopsis thaliana"
"AT1G31670","AT1G24140","STRING","Arabidopsis thaliana"
"AT1G31670","AT2G45040","STRING","Arabidopsis thaliana"
"AT1G31670","AT1G59970","STRING","Arabidopsis thaliana"
"AT1G31670","AT1G70170","STRING","Arabidopsis thaliana"
"AT1G31670","AT4G16640","STRING","Arabidopsis thaliana"
"AT1G32860","AT4G26690","STRING","Arabidopsis thaliana"
"AT1G32860","AT5G55480","STRING","Arabidopsis thaliana"
"AT1G34047","AT5G05630","STRING","Arabidopsis thaliana"
"AT1G34047","AT1G31820","STRING","Arabidopsis thaliana"
"AT1G34047","AT3G19553","STRING","Arabidopsis thaliana"
"AT1G34047","AT1G31830","STRING","Arabidopsis thaliana"
"AT1G34245","AT5G60880","STRING","Arabidopsis thaliana"
"AT1G34245","AT1G63700","STRING","Arabidopsis thaliana"
"AT1G34245","AT2G26330","STRING","Arabidopsis thaliana"
"AT1G34245","AT1G80080","STRING","Arabidopsis thaliana"
"AT1G34245","AT5G62230","STRING","Arabidopsis thaliana"
"AT1G34245","AT2G02220","STRING","Arabidopsis thaliana"
"AT1G34245","AT5G07180","STRING","Arabidopsis thaliana"
"AT1G34510","AT4G40090","STRING","Arabidopsis thaliana"
"AT1G34510","AT2G20520","STRING","Arabidopsis thaliana"
"AT1G35140","AT2G27080","STRING","Arabidopsis thaliana"
"AT1G35140","AT2G35980","STRING","Arabidopsis thaliana"
"AT1G47710","AT3G09840","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G24140","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G54280","STRING","Arabidopsis thaliana"
"AT1G47710","AT4G16640","STRING","Arabidopsis thaliana"
"AT1G47710","AT2G45040","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G65590","STRING","Arabidopsis thaliana"
"AT1G47710","AT4G04340","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G70170","STRING","Arabidopsis thaliana"
"AT1G47710","AT3G13900","STRING","Arabidopsis thaliana"
"AT1G47710","AT3G25610","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G59970","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G32090","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G55350","STRING","Arabidopsis thaliana"
"AT1G47710","AT1G64060","STRING","Arabidopsis thaliana"
"AT1G48020","AT3G11820","STRING","Arabidopsis thaliana"
"AT1G48930","AT4G40090","STRING","Arabidopsis thaliana"
"AT1G48930","AT5G49270","STRING","Arabidopsis thaliana"
"AT1G53130","AT3G14380","STRING","Arabidopsis thaliana"
"AT1G53130","AT1G50610","STRING","Arabidopsis thaliana"
"AT1G53830","AT3G54920","STRING","Arabidopsis thaliana"
"AT1G53940","AT3G54950","STRING","Arabidopsis thaliana"
"AT1G54445","AT4G05110","STRING","Arabidopsis thaliana"
"AT1G54445","AT1G54280","STRING","Arabidopsis thaliana"
"AT1G54445","AT4G05130","STRING","Arabidopsis thaliana"
"AT1G54445","AT4G05140","STRING","Arabidopsis thaliana"
"AT1G54445","AT4G05120","STRING","Arabidopsis thaliana"
"AT1G54445","AT5G04930","STRING","Arabidopsis thaliana"
"AT1G54970","AT4G19680","STRING","Arabidopsis thaliana"
"AT1G54970","AT4G40090","STRING","Arabidopsis thaliana"
"AT1G54970","AT1G70460","STRING","Arabidopsis thaliana"
"AT1G54970","AT5G49270","STRING","Arabidopsis thaliana"
"AT1G54970","AT2G20520","STRING","Arabidopsis thaliana"
"AT1G54970","AT4G29180","STRING","Arabidopsis thaliana"
"AT1G56670","AT5G64080","STRING","Arabidopsis thaliana"
"AT1G58250","AT2G26420","STRING","Arabidopsis thaliana"
"AT1G60390","AT4G27290","STRING","Arabidopsis thaliana"
"AT1G60625","AT5G10530","STRING","Arabidopsis thaliana"
"AT1G61563","AT2G22470","STRING","Arabidopsis thaliana"
"AT1G61566","AT1G23140","STRING","Arabidopsis thaliana"
"AT1G61566","AT4G23320","STRING","Arabidopsis thaliana"
"AT1G62340","AT3G59420","STRING","Arabidopsis thaliana"
"AT1G62340","AT4G20140","STRING","Arabidopsis thaliana"
"AT1G62340","AT2G20300","STRING","Arabidopsis thaliana"
"AT1G62340","AT5G44700","STRING","Arabidopsis thaliana"
"AT1G62440","AT4G34580","STRING","Arabidopsis thaliana"
"AT1G62440","AT1G70460","STRING","Arabidopsis thaliana"
"AT1G62980","AT4G40090","STRING","Arabidopsis thaliana"
"AT1G62980","AT1G70460","STRING","Arabidopsis thaliana"
"AT1G62980","AT5G49270","STRING","Arabidopsis thaliana"
"AT1G62980","AT4G34580","STRING","Arabidopsis thaliana"
"AT1G63535","AT5G10530","STRING","Arabidopsis thaliana"
"AT1G63580","AT2G33330","STRING","Arabidopsis thaliana"
"AT1G63580","AT5G43980","STRING","Arabidopsis thaliana"
"AT1G64390","AT5G65600","STRING","Arabidopsis thaliana"
"AT1G66145","AT5G13290","STRING","Arabidopsis thaliana"
"AT1G66145","AT1G65380","STRING","Arabidopsis thaliana"
"AT1G68560","AT4G19640","STRING","Arabidopsis thaliana"
"AT1G68560","AT1G54280","STRING","Arabidopsis thaliana"
"AT1G68560","AT4G04340","STRING","Arabidopsis thaliana"
"AT1G68560","AT3G13900","STRING","Arabidopsis thaliana"
"AT1G68560","AT3G25610","STRING","Arabidopsis thaliana"
"AT1G68560","AT1G32090","STRING","Arabidopsis thaliana"
"AT1G68560","AT1G64060","STRING","Arabidopsis thaliana"
"AT1G68765","AT1G71830","STRING","Arabidopsis thaliana"
"AT1G68765","AT4G28490","STRING","Arabidopsis thaliana"
"AT1G68765","AT2G31880","STRING","Arabidopsis thaliana"
"AT1G68765","AT5G65710","STRING","Arabidopsis thaliana"
"AT1G68765","AT4G35600","STRING","Arabidopsis thaliana"
"AT1G68795","AT1G27380","STRING","Arabidopsis thaliana"
"AT1G68795","AT1G75820","STRING","Arabidopsis thaliana"
"AT1G68850","AT4G03540","STRING","Arabidopsis thaliana"
"AT1G68850","AT2G48130","STRING","Arabidopsis thaliana"
"AT1G68850","AT1G03103","STRING","Arabidopsis thaliana"
"AT1G68850","AT3G22600","STRING","Arabidopsis thaliana"
"AT1G68850","AT4G14815","STRING","Arabidopsis thaliana"
"AT1G68850","AT1G03700","STRING","Arabidopsis thaliana"
"AT1G69320","AT5G13290","STRING","Arabidopsis thaliana"
"AT1G69320","AT1G65380","STRING","Arabidopsis thaliana"
"AT1G69588","AT2G25790","STRING","Arabidopsis thaliana"
"AT1G69588","AT4G20270","STRING","Arabidopsis thaliana"
"AT1G69588","AT2G32010","STRING","Arabidopsis thaliana"
"AT1G69588","AT5G52870","STRING","Arabidopsis thaliana"
"AT1G69588","AT3G09070","STRING","Arabidopsis thaliana"
"AT1G69588","AT1G31880","STRING","Arabidopsis thaliana"
"AT1G69588","AT5G56040","STRING","Arabidopsis thaliana"
"AT1G69940","AT3G54920","STRING","Arabidopsis thaliana"
"AT1G69970","AT1G75820","STRING","Arabidopsis thaliana"
"AT1G69970","AT4G20270","STRING","Arabidopsis thaliana"
"AT1G69970","AT5G52870","STRING","Arabidopsis thaliana"
"AT1G69970","AT1G65380","STRING","Arabidopsis thaliana"
"AT1G69970","AT3G09070","STRING","Arabidopsis thaliana"
"AT1G69970","AT1G31880","STRING","Arabidopsis thaliana"
"AT1G69970","AT5G13290","STRING","Arabidopsis thaliana"
"AT1G71120","AT3G50950","STRING","Arabidopsis thaliana"
"AT1G71695","AT1G49730","STRING","Arabidopsis thaliana"
"AT1G72290","AT5G59810","STRING","Arabidopsis thaliana"
"AT1G72610","AT3G01500","STRING","Arabidopsis thaliana"
"AT1G72990","AT1G24140","STRING","Arabidopsis thaliana"
"AT1G72990","AT3G09840","STRING","Arabidopsis thaliana"
"AT1G72990","AT2G45040","STRING","Arabidopsis thaliana"
"AT1G72990","AT1G65590","STRING","Arabidopsis thaliana"
"AT1G72990","AT1G05590","STRING","Arabidopsis thaliana"
"AT1G72990","AT1G59970","STRING","Arabidopsis thaliana"
"AT1G72990","AT1G70170","STRING","Arabidopsis thaliana"
"AT1G72990","AT1G55350","STRING","Arabidopsis thaliana"
"AT1G72990","AT4G16640","STRING","Arabidopsis thaliana"
"AT1G73165","AT1G75820","STRING","Arabidopsis thaliana"
"AT1G73165","AT5G13290","STRING","Arabidopsis thaliana"
"AT1G73165","AT1G65380","STRING","Arabidopsis thaliana"
"AT1G73370","AT1G06490","STRING","Arabidopsis thaliana"
"AT1G73965","AT1G75820","STRING","Arabidopsis thaliana"
"AT1G74210","AT1G32050","STRING","Arabidopsis thaliana"
"AT1G74670","AT4G37220","STRING","Arabidopsis thaliana"
"AT1G74820","AT1G51340","STRING","Arabidopsis thaliana"
