Quality,Time,LR_pair,SignalStrength,n_samples,platform
gamma,0-0.5h,AT1G48020->AT3G11820,90.6677915063935,16,rnaseq
gamma,0-0.5h,AT1G48930->AT4G40090,392.11759274840335,16,rnaseq
gamma,0-0.5h,AT1G48930->AT5G49270,373.67213134725785,16,rnaseq
gamma,0-0.5h,AT1G53130->AT3G14380,11.453657431339398,16,rnaseq
gamma,0-0.5h,AT1G53130->AT1G50610,3.2684444436651603,16,rnaseq
gamma,0-0.5h,AT1G53830->AT3G54920,377.2935420800176,16,rnaseq
gamma,0-0.5h,AT1G53940->AT3G54950,227.22274527879978,16,rnaseq
gamma,0-0.5h,AT1G54445->AT4G05110,0.06258143744142945,16,rnaseq
gamma,0-0.5h,AT1G54445->AT1G54280,0.0553227547672094,16,rnaseq
gamma,0-0.5h,AT1G54445->AT4G05130,0.049548634670634896,16,rnaseq
gamma,0-0.5h,AT1G54445->AT4G05140,0.0030079544718955515,16,rnaseq
gamma,0-0.5h,AT1G54445->AT4G05120,0.1825356863500186,16,rnaseq
gamma,0-0.5h,AT1G54445->AT5G04930,0.5323457993238994,16,rnaseq
gamma,0-0.5h,AT1G54970->AT4G19680,333.4778774000942,16,rnaseq
gamma,0-0.5h,AT1G54970->AT4G40090,384.5680173485334,16,rnaseq
gamma,0-0.5h,AT1G54970->AT1G70460,361.22813187282077,16,rnaseq
gamma,0-0.5h,AT1G54970->AT5G49270,365.89297813403186,16,rnaseq
gamma,0-0.5h,AT1G54970->AT2G20520,352.093613880007,16,rnaseq
gamma,0-0.5h,AT1G54970->AT4G29180,358.7953434285726,16,rnaseq
gamma,0-0.5h,AT1G56670->AT5G64080,189.39813489528035,16,rnaseq
gamma,0-0.5h,AT1G58250->AT2G26420,336.59474055242873,16,rnaseq
gamma,0-0.5h,AT1G60390->AT4G27290,264.4620715594663,16,rnaseq
gamma,0-0.5h,AT1G60625->AT5G10530,0.33718537917327895,16,rnaseq
gamma,0-0.5h,AT1G61563->AT2G22470,8.006028231038155,16,rnaseq
gamma,0-0.5h,AT1G61566->AT1G23140,3.043155341047993,16,rnaseq
gamma,0-0.5h,AT1G61566->AT4G23320,0.23657191818985268,16,rnaseq
gamma,0-0.5h,AT1G62340->AT3G59420,8.216426189420472,16,rnaseq
gamma,0-0.5h,AT1G62340->AT4G20140,10.760577076487898,16,rnaseq
gamma,0-0.5h,AT1G62340->AT2G20300,11.37286227494308,16,rnaseq
gamma,0-0.5h,AT1G62340->AT5G44700,5.015218505976627,16,rnaseq
gamma,0-0.5h,AT1G62440->AT4G34580,354.2407947854185,16,rnaseq
gamma,0-0.5h,AT1G62440->AT1G70460,327.3603576369389,16,rnaseq
gamma,0-0.5h,AT1G62980->AT4G40090,370.8577871878148,16,rnaseq
gamma,0-0.5h,AT1G62980->AT1G70460,346.24246932461256,16,rnaseq
gamma,0-0.5h,AT1G62980->AT5G49270,351.1223958324575,16,rnaseq
gamma,0-0.5h,AT1G62980->AT4G34580,371.91329687073096,16,rnaseq
gamma,0-0.5h,AT1G63580->AT2G33330,257.55838976622204,16,rnaseq
gamma,0-0.5h,AT1G63580->AT5G43980,121.51499417728252,16,rnaseq
gamma,0-0.5h,AT1G64390->AT5G65600,253.53946809620467,16,rnaseq
gamma,0-0.5h,AT1G66145->AT5G13290,3.6504906466931413,16,rnaseq
gamma,0-0.5h,AT1G66145->AT1G65380,3.904082233717502,16,rnaseq
gamma,0-0.5h,AT1G68560->AT4G19640,457.11324356140733,16,rnaseq
gamma,0-0.5h,AT1G68560->AT1G54280,251.72216932627953,16,rnaseq
gamma,0-0.5h,AT1G68560->AT4G04340,460.75506431185977,16,rnaseq
gamma,0-0.5h,AT1G68560->AT3G13900,197.3162431897448,16,rnaseq
gamma,0-0.5h,AT1G68560->AT3G25610,441.90069330110595,16,rnaseq
gamma,0-0.5h,AT1G68560->AT1G32090,455.9658354851461,16,rnaseq
gamma,0-0.5h,AT1G68560->AT1G64060,459.6892189476368,16,rnaseq
gamma,0-0.5h,AT1G68765->AT1G71830,84.64874399987389,16,rnaseq
gamma,0-0.5h,AT1G68765->AT4G28490,85.03681385286464,16,rnaseq
gamma,0-0.5h,AT1G68765->AT2G31880,134.5618766649357,16,rnaseq
gamma,0-0.5h,AT1G68765->AT5G65710,75.54218441248379,16,rnaseq
gamma,0-0.5h,AT1G68765->AT4G35600,97.83564814574287,16,rnaseq
gamma,0-0.5h,AT1G68795->AT1G27380,125.88981875897849,16,rnaseq
gamma,0-0.5h,AT1G68795->AT1G75820,280.83326621651963,16,rnaseq
gamma,0-0.5h,AT1G68850->AT4G03540,265.088731057131,16,rnaseq
gamma,0-0.5h,AT1G68850->AT2G48130,346.62788464211496,16,rnaseq
gamma,0-0.5h,AT1G68850->AT1G03103,32.12680400715735,16,rnaseq
gamma,0-0.5h,AT1G68850->AT3G22600,384.03883271134225,16,rnaseq
gamma,0-0.5h,AT1G68850->AT4G14815,2.284384284548229,16,rnaseq
gamma,0-0.5h,AT1G68850->AT1G03700,180.47005472434785,16,rnaseq
gamma,0-0.5h,AT1G69320->AT5G13290,89.23312830523442,16,rnaseq
gamma,0-0.5h,AT1G69320->AT1G65380,93.22740305274253,16,rnaseq
gamma,0-0.5h,AT1G69588->AT2G25790,205.11854005077194,16,rnaseq
gamma,0-0.5h,AT1G69588->AT4G20270,221.5260036802247,16,rnaseq
gamma,0-0.5h,AT1G69588->AT2G32010,163.59111672997727,16,rnaseq
gamma,0-0.5h,AT1G69588->AT5G52870,152.32117608919566,16,rnaseq
gamma,0-0.5h,AT1G69588->AT3G09070,162.20011341781859,16,rnaseq
gamma,0-0.5h,AT1G69588->AT1G31880,114.3292430490373,16,rnaseq
gamma,0-0.5h,AT1G69588->AT5G56040,230.49544427260105,16,rnaseq
gamma,0-0.5h,AT1G69940->AT3G54920,17.322930362091874,16,rnaseq
gamma,0-0.5h,AT1G69970->AT1G75820,300.42136500789104,16,rnaseq
gamma,0-0.5h,AT1G69970->AT4G20270,299.12834155538235,16,rnaseq
gamma,0-0.5h,AT1G69970->AT5G52870,222.79826275322404,16,rnaseq
gamma,0-0.5h,AT1G69970->AT1G65380,224.384501610531,16,rnaseq
gamma,0-0.5h,AT1G69970->AT3G09070,234.43156743352995,16,rnaseq
gamma,0-0.5h,AT1G69970->AT1G31880,175.88457034867224,16,rnaseq
gamma,0-0.5h,AT1G69970->AT5G13290,217.56991032063846,16,rnaseq
gamma,0-0.5h,AT1G71120->AT3G50950,83.33553847574038,16,rnaseq
gamma,0-0.5h,AT1G71695->AT1G49730,403.8507054840667,16,rnaseq
gamma,0-0.5h,AT1G72290->AT5G59810,0.029714317094441486,16,rnaseq
gamma,0-0.5h,AT1G72610->AT3G01500,495.5302131038545,16,rnaseq
