"Gene","Module","kME_MEblue","kME_MEturquoise","kME_MEgrey","IsHub"
"AT5G15970","turquoise",0.241880506785002,0.413081227088559,-0.0868223036851244,FALSE
"AT2G06520","turquoise",0.24667181169207,0.874429223744292,-0.0959868801852209,TRUE
"AT3G16640","blue",0.732715930284906,0.461733873561001,0.0881728728535597,TRUE
"AT1G64720","blue",0.758473213711493,0.351180140201942,0.0143096019036594,TRUE
"AT2G38540","turquoise",0.0743140580934208,0.859837126507996,0.1395438576791,TRUE
"ATCG00210","turquoise",0.234636612913951,0.443491987189129,-0.0306222572478006,FALSE
"ATCG01060","blue",0.558706478181272,0.274416476230814,0.423741492244839,FALSE
"AT2G45180","turquoise",0.588205029262332,0.553058074474243,-0.384108302784745,FALSE
"AT3G14420","turquoise",0.547237764486462,0.827673805389414,0.0631230304199627,TRUE
"AT3G02470","blue",0.713036208116278,0.649012798250691,0.187278924689691,TRUE
"AT1G74470","turquoise",0.590198726606213,0.750594893562287,-0.04961733873561,TRUE
"AT5G13930","turquoise",0.0220596511002065,0.70452608739712,0.177441916575713,TRUE
"AT1G09310","turquoise",-0.0199048170300341,0.81854138529809,0.0772396938709885,TRUE
"AT3G55800","turquoise",0.339893240722876,0.877130362081163,0.0323815036336742,TRUE
"AT2G41430","blue",0.858994147533604,0.296578558106631,0.000514502540356293,TRUE
"AT4G05320","blue",0.736156666023539,0.396713615023474,0.307961926812014,TRUE
"AT3G16420","turquoise",0.26339314425365,0.850022509486141,-0.136150234741784,TRUE
"AT1G76490","blue",0.920830921602676,0.217666730979484,-0.0217377323300534,TRUE
"AT5G48720","grey",0.239886809441122,0.035468518875812,0.953662614959161,TRUE
"AT1G21310","blue",0.52948742684417,0.131423242652261,-0.00594893562286964,FALSE
"AT2G37220","turquoise",0.290792742249591,0.89956668893743,-0.0842665466178318,TRUE
"AT2G45960","turquoise",0.61865714836967,0.64303170621905,-0.290179432760949,FALSE
"AT1G67740","turquoise",0.291401376294295,0.861470191009068,-0.00247604347546466,TRUE
"AT4G04640","turquoise",0.31641906231912,0.91565373979034,0.178017878963277,TRUE
"ATCG00530","turquoise",0.288406344947485,0.39295103217771,-0.311897545815427,FALSE
"AT2G30860","turquoise",-0.0359187085986237,0.819763328831436,-0.0405492314618303,TRUE
"ATCG00510","blue",0.328903619140011,0.214801752146861,-0.0107473275735228,FALSE
"AT3G53460","turquoise",0.478262267669947,0.738086050549875,-0.160685574635025,TRUE
"AT1G01620","blue",0.703935944433726,0.447392115248569,-0.411216155379767,TRUE
"AT4G05180","turquoise",0.397421056016464,0.810084249790983,0.00929320213518554,TRUE
"AT2G21660","turquoise",0.198501511351212,0.714161682423307,-0.0630587176024182,TRUE
"AT3G04120","turquoise",0.110810984629237,0.803170621904946,0.215994597723326,TRUE
"AT3G50820","turquoise",0.389060389735674,0.825422856775355,0.0291337063476751,TRUE
"ATCG00710","blue",0.554354828281584,0.136594624954275,0.14997427270115,FALSE
"ATCG00070","turquoise",0.209338972553518,0.479104695153592,-0.422633501390019,FALSE
"AT4G21960","turquoise",-0.0194867837159946,0.752652903723712,-0.0712586018393466,TRUE
"AT3G13750","blue",0.75532188565181,0.315518682873497,-0.315100649559457,TRUE
"ATCG00150","turquoise",0.310361461923125,0.396803448209454,0.0657158478333755,FALSE
"AT2G10940","turquoise",0.391472120393595,0.739758183806033,-0.294359765901344,TRUE
"AT5G46110","turquoise",0.419287413981607,0.841468904752717,0.0663065148884173,TRUE
"AT3G48360","blue",0.735513537848093,0.217280854074217,-0.243359701588527,TRUE
"AT4G03280","turquoise",0.570326065984951,0.747861598816644,0.0432503697987009,TRUE
"AT2G28000","turquoise",0.270724805453727,0.879445623512766,-0.03643321113898,TRUE
"AT1G20440","blue",0.65126374686475,0.338832079233391,-0.186507170879156,FALSE
"AT1G56280","blue",0.757958711171137,0.28734966878899,0.0599717023602804,TRUE
"AT4G13940","turquoise",0.528297639719596,0.891890153707634,0.129365232490835,TRUE
"AT2G31141","turquoise",0.193436325877057,0.283622956188665,0.64407990209696,FALSE
"AT1G09340","turquoise",0.323107595343752,0.880924818316291,0.090359508650074,TRUE
"AT1G59870","blue",0.837577979291273,0.217634574570712,0.174641456042189,TRUE
"AT5G03240","blue",0.713389928612773,0.240562094025339,0.155411923596373,TRUE
"AT3G52930","turquoise",0.126085278796064,0.855231847707248,0.0713872274744357,TRUE
"AT2G05070","turquoise",0.253392501125474,0.611325487169593,-0.0533796385619654,FALSE
"AT1G66200","turquoise",0.0532831693356486,0.805743134606727,0.0801337706604927,TRUE
"ATCG00690","grey",0.317081227949139,0.105393522026412,0.0226934624720383,FALSE
"AT3G53420","turquoise",0.442922374429224,0.701845777863528,-0.304199626985658,TRUE
"AT1G09570","blue",0.903916650588462,0.149913177696315,0.0292944883915364,TRUE
"AT4G35100","turquoise",0.610039230818702,0.60206444144318,-0.468743970673355,FALSE
"AT1G77760","blue",0.807318798636568,0.092642613672905,0.0875297446781144,TRUE
"AT1G72150","blue",0.860955688468712,0.339893240722876,-0.202070872724934,TRUE
"AT1G07890","turquoise",0.117692456106502,0.666152164126311,0.221396874397067,FALSE
"AT3G45140","turquoise",-0.0489420541513924,0.582545501318413,0.191330632194996,FALSE
"AT3G62030","turquoise",0.351823268377388,0.858479644993247,0.0288442986687247,TRUE
"AT4G30270","blue",0.818766480159496,-0.000353720496494951,0.00270113833687054,TRUE
"AT5G49480","grey",0.230593607305936,0.126567624927648,0.905878191523571,TRUE
"AT4G09650","turquoise",0.117145797157373,0.878802495337321,0.0792977040324137,TRUE
"AT4G23670","turquoise",-0.0032477972859991,0.794713486397839,-0.0261753167406264,TRUE
"AT1G49240","blue",0.848260726285741,0.442781230167615,-0.0616764878507924,TRUE
"AT2G38530","turquoise",0.178853945591356,0.743584796449932,0.278892533281883,TRUE
"AT3G18780","blue",0.84973310180719,0.568879027590199,-0.153289600617403,TRUE
"AT2G36530","turquoise",0.195189401247669,0.912566724548203,0.068428837867387,TRUE
"AT3G09440","turquoise",0.163097305292945,0.507170879156216,0.299987137436491,FALSE
"AT1G13930","turquoise",0.0297768345231205,0.574024052993762,0.518522091452827,FALSE
"AT1G65970","blue",0.565510707673873,0.0159525286359689,-0.00149554955962208,FALSE
"ATCG00520","blue",0.448779081081135,0.218439696051531,0.0861601804655553,FALSE
"AT1G55490","turquoise",0.363303106309087,0.867258344588076,-0.0503890925461445,TRUE
"AT1G54410","turquoise",0.368898321435462,0.772686346388835,0.12659978133642,TRUE
"AT5G50920","blue",0.685767573477394,0.738825647951637,0.317705318670011,FALSE
"AT1G11260","blue",0.821699319109123,0.0406299491133869,-0.179385968444028,TRUE
"AT4G25100","turquoise",0.203680330577121,0.44369769518521,0.219051217538893,FALSE
"AT4G01150","turquoise",0.375040195510965,0.888545887195318,-0.00286192038073188,TRUE
"ATCG00360","turquoise",0.21973516163561,0.354325963164337,-0.500140704892233,FALSE
"AT4G30190","turquoise",0.204772011061805,0.785677535532832,0.199723454884559,TRUE
"AT4G34710","blue",0.595086500739598,0.245835745063991,0.501189787124574,FALSE
"ATCG01020","turquoise",0.132998906682102,0.385844748858448,0.220978841083028,FALSE
"ATCG00430","grey",0.171668368295858,0.325136062908948,-0.662121857712065,FALSE
"ATCG00080","turquoise",0.0855716434080678,0.439451068392691,-0.535972409125241,FALSE
"AT5G07440","blue",0.849893883851052,-0.0141166634510258,0.0084249790983343,TRUE
"ATCG00220","turquoise",0.394430510000643,0.349797414624735,0.255836388192167,FALSE
"AT2G06850","blue",0.685124445301949,0.478519518940125,-0.310759534375201,FALSE
"AT3G21055","turquoise",0.261560228953631,0.80464981670847,-0.0529294488391537,TRUE
"AT4G32260","turquoise",0.60788475143096,0.818573541706862,0.00437327159302849,TRUE
"AT3G12580","blue",0.472345488455849,0.380571097819796,0.163065148884173,FALSE
"AT5G12860","turquoise",0.289632773811821,0.890571740947971,0.112933307608206,TRUE
"AT5G02380","turquoise",0.169528587047399,0.779535661457329,0.320052736510387,TRUE
"AT4G24770","turquoise",0.418194096083349,0.899607691812978,0.00128625635089073,TRUE
"AT3G05900","blue",0.453636438949888,0.255855392831159,-0.101972051847236,FALSE
"AT4G29060","turquoise",0.324297382468326,0.910958904109589,0.0349861727442279,TRUE
"AT2G28190","blue",0.647281088542543,0.571711097829128,-0.167620670890926,FALSE
"ATCG01100","blue",0.641648980641842,0.312560293266448,0.359862370570455,FALSE
"AT2G43150","blue",0.668306643514052,0.36362467039681,0.196829378095054,FALSE
"AT5G20290","turquoise",0.302173773233005,0.948163869059104,-0.0714836967007525,TRUE
"AT2G46820","turquoise",0.420348575471091,0.883143610521577,0.122258666152164,TRUE
"ATCG00500","blue",0.375531750119576,0.186254098421191,0.136574544840061,FALSE
"AT1G09687","turquoise",0.0936688344699867,0.654057433274545,0.0220983823079948,FALSE
"AT1G43170","turquoise",0.353238150363367,0.941378866808155,-0.0392951315197119,TRUE
"AT4G34110","blue",0.442375715480095,0.180075889124703,0.780468197311724,FALSE
"AT1G15690","turquoise",0.599395459515081,0.764904495465946,-0.0226702681844492,TRUE
"AT3G63160","turquoise",-0.0102257379895813,0.673773233005338,0.0295195832529423,FALSE
"AT5G20630","turquoise",0.11965399704161,0.683484468454563,-0.182487619782623,FALSE
"AT2G05380","turquoise",0.260048877741334,0.335680751173709,0.362724290951187,FALSE
"AT3G54050","turquoise",0.17563830471413,0.852723647823011,-0.0597466074988745,TRUE
"AT5G66190","turquoise",0.328509872017493,0.894398353591871,0.120200655990739,TRUE
"AT3G44310","turquoise",0.0511930027654512,0.689272622033571,0.229339507363818,FALSE
"AT2G15970","turquoise",0.250369798700881,0.589426972795678,-0.189915750209017,FALSE
"AT1G20020","turquoise",0.296066435684174,0.849739932980807,-0.00800701015372643,TRUE
"AT3G23810","turquoise",-0.111936458936266,0.693420798765194,0.0730272043218213,FALSE
"AT4G21070","grey",0.203374842237923,0.0730277914020592,0.972047816995661,TRUE
"AT4G14130","blue",0.697071284641068,0.0695720682899364,-0.278851023885456,FALSE
"AT1G30360","blue",0.709499003151328,0.466107145154029,-0.272429095118657,TRUE
"AT3G46780","turquoise",0.340407743263232,0.880249533732073,0.0302913370634768,TRUE
"AT3G30775","blue",0.823204064570069,0.0242459322142903,0.0753424657534247,TRUE
"AT2G13360","turquoise",0.677792784101872,0.556145089716381,-0.0369477136793363,FALSE
"AT2G33830","blue",0.627982506913628,-0.0928033957167664,-0.27062833622741,FALSE
"AT2G20670","blue",0.693260016721333,0.246607498874526,-0.256672454820246,FALSE
"AT2G26080","turquoise",0.51744901160116,0.730953204033556,0.213648897435174,TRUE
"AT5G09660","turquoise",0.507705541414096,0.811827222252922,-0.0194708620404874,TRUE
"AT1G07590","turquoise",0.313656132688545,0.700372213446433,-0.250355733139908,TRUE
"AT3G16460","turquoise",0.5541513923725,0.60901022573799,-0.176988873882565,FALSE
"AT5G07010","blue",0.685242949834963,0.145110460891185,0.0954111329560437,FALSE
"AT2G42540","turquoise",-0.0721446430360399,0.439218902120682,-0.105170071339144,FALSE
"ATCG00790","blue",0.686185606791434,0.485690398096341,0.0445366261495916,FALSE
"AT5G57560","blue",0.793288903563672,0.154416316297969,0.174465998349569,TRUE
"AT3G14990","blue",0.727892468969066,-0.0161103607949064,0.210881728728536,TRUE
"AT5G56030","turquoise",0.268377387613351,0.722200784616374,0.0437005595215126,TRUE
"AT1G56220","blue",0.723229789697087,0.357547109138851,-0.247282783458743,TRUE
"AT1G78380","turquoise",0.356743198919545,0.745771432246447,0.39381953823397,TRUE
"AT1G02780","turquoise",0.383979677149656,0.934979741462474,0.110360794906425,TRUE
"AT4G24190","turquoise",0.265965656955431,0.817287285355972,-0.0924496752202714,TRUE
"AT1G04410","turquoise",0.527236478230111,0.80706154736639,0.0665637661585954,TRUE
"ATCG01080","blue",0.524738307881673,0.264346932082328,0.253991735959395,FALSE
"AT1G62750","turquoise",0.460479773618882,0.857643578365168,-0.00884301241237379,TRUE
"AT3G11630","turquoise",0.54720560807769,0.846388835294874,-0.0437327159302849,TRUE
"AT5G53460","blue",0.653193131391086,0.65338606984372,0.276448646215191,FALSE
"ATCG00380","grey",-0.134674287958518,0.140719838611861,-0.80013506040684,TRUE
"AT5G67360","blue",0.399414753360345,0.330857289857869,0.839282268956203,FALSE
"AT2G18020","turquoise",0.324844041417454,0.933339764615088,-0.161457328445559,TRUE
"AT2G47730","blue",0.849700945398418,0.319088044247219,0.217152228439128,TRUE
"AT5G25610","turquoise",0.143932085664673,0.72978969708663,0.194385491028362,TRUE
"AT1G14320","turquoise",0.240690719660428,0.931120972409801,-0.148594764936652,TRUE
"AT5G44340","turquoise",0.724419576821661,0.765676249276481,0.0546658949128561,TRUE
"AT2G47400","turquoise",0.363142324265226,0.753907003665831,-0.0466267927197891,TRUE
"AT4G38770","turquoise",0.0753424657534247,0.820149205736703,-0.0115763071580166,TRUE
"AT3G14415","turquoise",0.479709306064699,0.857032606598495,0.00575599717023603,TRUE
"AT3G27690","turquoise",0.142870924175188,0.703743005981092,-0.0652775098077047,TRUE
"AT4G28080","turquoise",0.529455270435398,0.720818059039167,0.0485561772461252,TRUE
"AT2G04030","turquoise",0.447102707569619,0.720978841083028,0.276320020580102,TRUE
"AT1G03130","turquoise",0.430284905781722,0.700141488198598,-0.0543764872339057,TRUE
"AT5G01600","grey",0.223165476879542,0.237507235191974,-0.153771946748987,FALSE
"AT3G09200","turquoise",0.408386391407808,0.915396488520162,-0.122065727699531,TRUE
