"gene_id","genotypeMYB3R135-genotypeWILDTYPE","genotypeSOG11-genotypeWILDTYPE","Time_After_Treatment_min10-Time_After_Treatment_min0","Time_After_Treatment_min1440-Time_After_Treatment_min0","Time_After_Treatment_min180-Time_After_Treatment_min0","Time_After_Treatment_min360-Time_After_Treatment_min0","Time_After_Treatment_min4320-Time_After_Treatment_min0","Time_After_Treatment_min45-Time_After_Treatment_min0","Time_After_Treatment_min720-Time_After_Treatment_min0","Time_After_Treatment_min90-Time_After_Treatment_min0","Radiation_Dose_cGy10-Radiation_Dose_cGy0","Radiation_Dose_cGy100-Radiation_Dose_cGy0","Radiation_Dose_cGy10000-Radiation_Dose_cGy0","Radiation_Dose_cGy40-Radiation_Dose_cGy0","Radiation_Dose_cGy80-Radiation_Dose_cGy0"
"AT1G04580","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04625","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04733","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04760","None","None","None","None","None","None","None","None","None","Down","None","None","None","None","None"
"AT1G04767","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G04770","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G04778","None","None","None","None","None","Up","None","None","Up","None","None","None","Down","None","None"
"AT1G05030","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G05035","None","Down","None","None","None","None","None","Down","None","None","None","None","Up","None","None"
"AT1G05040","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G05065","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G05087","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G05100","None","None","Up","Up","None","None","None","None","None","Up","None","Up","None","None","None"
"AT1G05183","None","None","None","None","None","Down","None","None","None","None","None","None","None","None","None"
"AT1G05187","None","None","None","None","None","None","Up","None","None","None","None","None","None","None","None"
"AT1G05213","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G05240","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G05243","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G05300","None","None","None","None","None","None","None","None","None","None","Up","None","None","None","None"
"AT1G05333","None","Up","None","None","Down","None","None","None","None","None","None","Down","None","None","None"
"AT1G05340","None","Down","None","None","None","None","None","Up","None","Up","Up","Up","None","None","None"
"AT1G05347","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G05397","None","Up","None","None","None","None","Up","Up","None","None","None","None","None","None","None"
"AT1G05440","None","None","Up","None","None","None","None","None","Up","Down","None","None","Down","None","None"
"AT1G05490","None","Down","Down","None","None","None","None","Down","None","None","None","None","Up","None","None"
"AT1G05523","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G05540","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G05557","None","None","None","None","Down","None","None","None","None","None","None","None","None","None","None"
"AT1G05562","None","None","None","None","Down","None","Down","Down","None","None","Down","None","Up","None","None"
"AT1G05575","None","None","None","Down","None","Down","Down","None","Down","None","Up","None","Up","None","None"
"AT1G05650","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G05675","None","Down","None","None","None","Down","None","None","Down","None","None","None","Up","None","None"
"AT1G05687","None","None","None","None","None","None","None","Down","None","None","None","None","Up","None","None"
"AT1G05700","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G05710","None","None","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G05767","Up","Up","Up","Up","Up","Up","Up","Up","Up","Up","None","None","Down","None","None"
"AT1G05835","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G05837","None","None","Up","Up","None","None","Up","Up","None","None","None","None","None","None","None"
"AT1G05880","None","None","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G05927","None","Down","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G06002","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G06020","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06100","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G06103","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06113","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06120","None","None","None","Down","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06148","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06160","None","None","Down","None","None","Down","None","None","Down","None","Up","None","None","None","None"
"AT1G06180","None","None","None","None","None","None","Down","None","None","Up","None","None","None","None","None"
"AT1G06243","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06273","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06277","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06407","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06447","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06463","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G06473","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G06475","None","None","None","None","Down","None","Down","None","None","None","Down","Down","None","None","None"
"AT1G06490","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06520","None","None","None","None","None","None","None","None","Down","None","None","None","None","None","None"
"AT1G06540","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G06570","None","None","None","None","None","None","None","Up","None","Up","None","None","None","None","None"
"AT1G06573","None","None","None","Down","None","Down","None","None","Down","None","None","None","None","None","None"
