SampleID,StudyID,cotyledon,dna_damage_response,hormone_response_aba,hormone_response_auxin,hormone_response_cytokinin,hormone_response_ethylene,hormone_response_ja,hormone_response_sa,hypocotyl,leaf_epidermis,leaf_mesophyll,leaf_vasculature,oxidative_stress,root_columella,root_cortex,root_endodermis,root_epidermis,root_lateral_root_cap,root_meristem,root_pericycle,root_phloem,root_stele,root_xylem,shoot_apical_meristem,RadiationQuality,TimePostExposure_h,IsControl
GSM1506025_1,OSD-46,0.047425731475044544,0.04482927267573054,0.046762575764123966,0.040391948832109316,0.027338150555813696,0.06814189906995435,0.029053075315526852,0.0292886864004086,0.04930963802973654,0.011939330782620935,0.04566970494178386,0.0,0.07238078633499076,0.05708599576831754,0.06201573734335133,0.05329285374554998,0.021545694235081674,0.0143667144072935,0.0425601441251731,0.07121677817836954,0.03627446577619749,0.04223754799250679,0.04521155471787952,0.04166171353243554,HZE-Fe,1.5,False
GSM1506026_1,OSD-46,0.04775607681365906,0.04582754061181492,0.04778036291281502,0.03767776360394991,0.02738842353974552,0.06963761762119518,0.03063267959548726,0.030613709509582247,0.04880278674928235,0.009450872438803546,0.04466804358699128,0.0,0.0751768626025677,0.05351893089834883,0.06064521002399564,0.052923598211852,0.022253900082333855,0.01897239377505239,0.04027274676951938,0.07068870588132707,0.0354210354739422,0.042730205544018365,0.045901117915130504,0.04125941583858569,HZE-Fe,3.0,False
GSM1506027_1,OSD-46,0.048947613882940735,0.04507370397087509,0.04822839990709763,0.03798130447824386,0.028008497549138426,0.07048613972273586,0.02958952668263387,0.029963502781011876,0.04868387478478242,0.009734424003652316,0.044764052337717734,0.0,0.07447942477361917,0.05296363810866629,0.06030519658835863,0.05367379431706198,0.021685172394726896,0.018516936192588616,0.04081315658874456,0.07181055408071767,0.03571756984429058,0.04282863680303176,0.0443863896304462,0.041358490576917914,HZE-Fe,3.0,False
GSM1506028_1,OSD-46,0.04572958918213156,0.05031787513807026,0.04524036020900382,0.043080116928901784,0.02859489050307025,0.05006406415254247,0.05300031036359866,0.029191858798516053,0.04912548963754118,0.009358160476922431,0.04623424784956385,0.0,0.07158155748874162,0.05017703037484789,0.06159387018270812,0.05417317110584433,0.01812048751652312,0.02068952205118549,0.04100650248203331,0.06903810180060307,0.03639513581891603,0.04214662059971557,0.041971923967506215,0.043169113371512906,HZE-Fe,6.0,False
GSM1506029_1,OSD-46,0.04583947549348647,0.05081752146186212,0.044256958239439065,0.04444333525320282,0.027493943246739597,0.053215672106694846,0.050560765694204486,0.02940467344590674,0.04871662141293671,0.009110435455244864,0.04642919598091522,0.0,0.07231944469441075,0.05005753824646784,0.061690207206592816,0.053178345908598636,0.018142621184506616,0.02044882565157857,0.04003921544229291,0.06941162254368306,0.036439177164317306,0.041948588347195254,0.043292420224753096,0.04274339559497032,HZE-Fe,6.0,False
GSM1506030_1,OSD-46,0.0466637624276496,0.04565130093146844,0.04356001219140268,0.03960507264468804,0.02782172337704214,0.056928951562209736,0.044699686646680566,0.02999014236835074,0.04939858928710362,0.010200433127474524,0.04402885753692205,0.0,0.0685146899001071,0.05554010614032195,0.06507851048775513,0.05320646156049375,0.02061141496110098,0.01478962301227237,0.038979744962932335,0.07051864842801077,0.04048095087589055,0.04277562346032376,0.04906645419681975,0.0418892399129796,HZE-Fe,12.0,False
GSM1506031_1,OSD-46,0.04763812220556978,0.0465137474442721,0.04431608870476601,0.04134964152233286,0.028078150969856518,0.055734376150949505,0.04417116131458788,0.030033130062756624,0.049810879079198615,0.010476310744519124,0.044468532090494166,0.0,0.06799102112045062,0.05421396336953492,0.06515473119310611,0.05260155072639351,0.020560153921141116,0.015634285187854126,0.03933167024577209,0.06913669580177666,0.04036502387450983,0.04271971543753404,0.046818577957504666,0.04288247087511902,HZE-Fe,12.0,False
GSM1506032_1,OSD-46,0.04592701739343522,0.04615097513926914,0.045033508342207214,0.04375966529060525,0.02737171421489992,0.05935920284543651,0.04135541036677274,0.029135253237139926,0.05016756851721657,0.006312370268413333,0.047565661531263986,0.0,0.06607786565183546,0.054088467062387506,0.06273580384092092,0.05373603931676935,0.02239157968120548,0.017617890549165044,0.04480222688348349,0.06895305779176643,0.03690951025933979,0.04080905091852488,0.0468682369014948,0.04287192399644698,HZE-Fe,24.0,False
GSM1506033_1,OSD-46,0.045606806629994966,0.046502710176895806,0.04430832758352333,0.044150308563853394,0.0284185955082622,0.059780312742897496,0.038845262427015734,0.029965654938908508,0.050054553899714214,0.007895855720917014,0.04819402969348741,0.0,0.06749161774300122,0.054092606283615424,0.06248353956977455,0.053308814839760514,0.02100640826828989,0.01817809168724113,0.045958640611078024,0.06951640680324796,0.03726535442402835,0.03950769509915595,0.04568902429312726,0.04177938249220963,HZE-Fe,24.0,False
GSM1506034_1,OSD-46,0.04803597769612466,0.048959445149064085,0.04242033798523552,0.04486953890478028,0.031861817378849584,0.05806628285993535,0.030489741800572893,0.029369965120738258,0.04987867414560613,0.007475772067758235,0.04560363634775964,0.0,0.06461908968302128,0.0545162760295839,0.06367851842051633,0.049512113214929994,0.019617626103409096,0.020465943098836915,0.04367303974117731,0.06956963249114131,0.042980575597267506,0.043706407846668065,0.04347833553110033,0.04715125278592329,gamma,1.5,False
GSM1506035_1,OSD-46,0.04678337123664043,0.05000337866565209,0.042155700596392356,0.04521190874915451,0.033362957784155864,0.057435461729243346,0.030612387573226714,0.02810892289079177,0.04834946324020535,0.008089039140124878,0.04641417330969433,0.0,0.06391917529184285,0.05497518067053154,0.06362169014466698,0.050218099493529185,0.019639172833370445,0.02060799057826213,0.04485621393282244,0.0693554679989972,0.04228997458525355,0.04376259712593821,0.043665905978163444,0.04656176645134042,gamma,1.5,False
GSM1506036_1,OSD-46,0.047281476503889044,0.047825848214839574,0.04573349204070163,0.04212279102100387,0.027189049508367518,0.0567943598492568,0.03492684941990578,0.03065178493168844,0.04911072795819197,0.008685770236706967,0.050097265329178964,0.0,0.06960001496956464,0.05516410056510857,0.06732742588816576,0.049539058896829274,0.02322067469667498,0.014253390452237006,0.04084357565921715,0.07201007678191257,0.03523408849124327,0.04286095157092142,0.04641286653674957,0.043114360477645226,gamma,6.0,False
GSM1506037_1,OSD-46,0.047904397562059955,0.048724435084061775,0.04201993107094849,0.04287711485947309,0.027654143877819906,0.05763417271532151,0.032987175798311404,0.031208295559397026,0.04908907639627649,0.009617496694434754,0.04833414799968824,0.0,0.06901235264671592,0.05535645759548757,0.06726134779204533,0.049988546953262714,0.022809501632878766,0.01758692304010402,0.03883158931268973,0.07102113706513552,0.03793833049255467,0.04199204380858105,0.04585633959397203,0.044295042448780006,gamma,6.0,False
GSM1506038_1,OSD-46,0.04927824375640928,0.04682545491000405,0.04291084579883521,0.042487899157688185,0.029714805353483323,0.05609054100016632,0.03093329579577066,0.03107944267497525,0.04916964971408456,0.010575555592815446,0.04390088219670929,0.0,0.06841710029908774,0.05497357083600203,0.06695870860352071,0.04833392772498308,0.02195494338745942,0.013033373962536897,0.03971262795613877,0.07051193848727469,0.04065219551841893,0.043085847890387254,0.05194451492282179,0.047454634460427185,gamma,12.0,False
GSM1506039_1,OSD-46,0.04932632690130448,0.044810894695836906,0.04328096101875785,0.04137160797773784,0.029637652836464967,0.05705647508329311,0.03036656876656004,0.028847535444530347,0.04990368390888652,0.011556812054730676,0.04450818397735871,0.0,0.0691084995582973,0.05628812806446237,0.06795175770785668,0.05025593529653191,0.02308978655592698,0.011105386566544046,0.0399476609540625,0.07105045889815408,0.040331920266331124,0.043353814456532046,0.052023675795191134,0.044826273214648514,gamma,12.0,False
GSM1506040_1,OSD-46,0.04633754441149046,0.048039422721324,0.04359475607622984,0.04547288793368812,0.03539941567185537,0.05505626589593403,0.033333825328833985,0.030097884131084527,0.04896037870081757,0.007767801163539922,0.046070764820006556,0.0,0.06630575373112595,0.05320956215493946,0.06438321766222033,0.051436961172645845,0.019976184947998857,0.019081075233846584,0.04252714527086289,0.06896982784651368,0.04300609495985112,0.043259467481086875,0.042780472763803076,0.04493328992030082,gamma,24.0,False
